id,track names,artists name,artists id,genres
1bp2IO61zbQrbWNmKKxg3f,The Joker,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,soft rock
4N0TP4Rmj6QQezWV88ARNJ,Superstition,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
55GxhCTq6SY3tFTVh7z1nR,Dancing In The Moonlight,King Harvest,5FHwr1FymaS5kutIEK6e2y,soft rock
28285KFbyCq8sJofn58qlD,Love Train,The O'Jays,38h03gA85YYPeDPd9ER9rT,urban contemporary
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,southern soul
2LchpUTiXjYoOL4RgZa02N,Nutbush City Limits,Ike & Tina Turner,1ZikppG9dPedbIgMfnfx8k,southern soul
6WCeFNVAXUtNczb7lqLiZU,Crocodile Rock,Elton John,3PhoLpVuITZKcymswpck5b,soft rock
0n2pjCIMKwHSXoYfEbYMfX,You Are The Sunshine Of My Life,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
1Ehdm1PDlKrdfyBsjwEvd1,Top Of The World,Carpenters,1eEfMU2AhEo7XnKgL7c304,soft rock
4GhtDORJiSRYxj6M1bv0vX,Love Really Hurts Without You,Billy Ocean,5IDs1CK15HegSAhGEbSYXo,yacht rock
0UOxp1BpnD8uPQMKU4wKjz,I Shot The Sheriff,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,soft rock
1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,Wings,3sFhA6G1N0gG1pszb6kk1m,soft rock
1BvJmtaXsqtH438BcDPeBb,Daniel,Elton John,3PhoLpVuITZKcymswpck5b,soft rock
7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,Redbone,0w7HLMvZOHatWVbAKee1zF,native american contemporary
4qsAYBCJnu2OkTKUVbbOF1,Free Bird,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,southern rock
3ZYO0HGRFFdAGeb8o7F9KC,"You're The First, The Last, My Everything - Single Version",Barry White,3rfgbfpPSfXY40lzRK7Syt,soul
3Dy4REq8O09IlgiwuHQ3sk,Waterloo,ABBA,0LcJLqbBmaGUft1e9Mm8HV,swedish pop
5ihS6UUlyQAfmp48eSkxuQ,Landslide,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,yacht rock
43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,rock
4t0Pj3iBnSCZv5pDEPNmzG,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1LZEQNv7sE11VDY3SdxQeN,soft rock
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,southern rock
3e0FzZjTXOUtiJGSClOBrI,Fly Like An Eagle,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,soft rock
2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,ABBA,0LcJLqbBmaGUft1e9Mm8HV,swedish pop
6RANU8AS5ICU5PEHh8BYtH,Isn't She Lovely,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
4fbwTO3DJ2qryMddov9RbB,Rhiannon (Will You Ever Win) - 2018 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,yacht rock
4T5Y25pWs2pVZVcFIqFuf8,You Should Be Dancing,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,soft rock
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,rock
1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,29kkCKKGXheHuoO829FxWK,soft rock
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,0LcJLqbBmaGUft1e9Mm8HV,swedish pop
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered,Queen,1dfeR4HaWDbWqFHLkxsg1d,rock
6XUHsYE38CEbYunT983O9G,Give A Little Bit,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,soft rock
3GXo1eWlT2flv4x01l5OTu,Disco Inferno,The Trammps,1zgNpeHQe8GulzfVkYP2VK,post-disco
5SZ6zX4rOrEQferfFC2MfP,Walk This Way,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,rock
7MRyJPksH3G2cXHN8UKYzP,American Girl,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,soft rock
4BM8yJ0PzBi2ZewpMTOxtx,Fernando,ABBA,0LcJLqbBmaGUft1e9Mm8HV,swedish pop
4pNiE4LCVV74vfIBaUHm1b,Sir Duke,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
1lCRw5FEZ1gPDNPzy1K4zW,We Are The Champions - Remastered 2011,Queen,1dfeR4HaWDbWqFHLkxsg1d,rock
6kooDsorCpWVMGc994XjWN,Black Betty,Ram Jam,6FITmSxIMsk6TfulFiCIIz,southern rock
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,yacht rock
21YxK0klhpfLW8budkJaMF,Lust For Life,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,rock
2udGjDmpK1dH9VGyw7nrei,Cocaine,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,soft rock
2HcyIzVsX45jLIxK7SH2aI,One Love / People Get Ready - Medley,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,roots reggae
5RgFlk1fcClZd0Y4SGYhqH,She's Always a Woman,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,soft rock
49RUdNvwSiUTC8fBh4KKoC,Nobody Does It Better,Carly Simon,4FtSnMlCVxCswABUmdhwpm,soft rock
