id,track names,artists name,artists id,track acousticness,track danceability,track duration_ms,track energy,track instrumentalness,track key,track liveness,track loudness,track mode,track speechiness,track time_signature,track valence,genres
1uRKT2LRANv4baowBWHfDS,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,0.205,0.811,129893,0.859,3.73e-06,9,0.0761,-6.317,1,0.168,4,0.784,rockabilly
0TMrV95mP7sDlvbE4iVfKP,Be-Bop-A-Lula,Gene Vincent & His Blue Caps,7lKaTIgVek1R2lqpCulQmq,0.421,0.607,157207,0.561,0.0,9,0.298,-10.099,1,0.0425,3,0.841,rockabilly
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",Ray Charles,1eYhYunlNJlDoQhtYBvPsi,0.792,0.696,155507,0.547,0.0,5,0.155,-5.954,0,0.169,4,0.623,vocal jazz
1gU6T4sESXRt6RC2ufSqDf,Sweet Little Sixteen,Chuck Berry,293zczrfYafIItmnmM3coR,0.578,0.552,190032,0.521,0.0,0,0.125,-10.292,1,0.0434,4,0.932,soul
07TQDFaoLBwvo6JU1nnaiU,I'm Walkin',Fats Domino,09C0xjtosNAIXP36wTnWxd,0.678,0.729,135093,0.555,0.184,1,0.155,-13.056,1,0.0483,4,0.979,soul
0S2QQT8Mi0DhbIn8k2fBWl,Passing Strangers,Sarah Vaughan,1bgyxtWjZwA5PQlDsvs9b8,0.813,0.279,157640,0.315,0.0,1,0.153,-10.539,1,0.0343,4,0.177,vocal jazz
2Tv1cGl60jwtHpOJ9dNPxH,On The Street Where You Live,Vic Damone,4seoDLqmOLUf59y72WJP7g,0.871,0.291,158685,0.312,0.0,10,0.142,-10.289,1,0.0363,5,0.201,vocal jazz
0qDShcc7oY6M8OFaDXHOZG,Venus - Bonus Track,Frankie Avalon,5zNOI87gG4RttFmYAZWaxQ,0.601,0.526,141987,0.488,1.31e-05,10,0.094,-12.645,1,0.0296,4,0.718,rock-and-roll
14t8pLQkLLskPriG8bs96b,Walkin' After Midnight,Patsy Cline,7dNsHhGeGU5MV01r06O8gK,0.795,0.562,154027,0.194,0.0,0,0.322,-15.364,1,0.0448,3,0.773,nashville sound
7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,0.121,0.627,118227,0.7,0.0111,3,0.188,-9.657,1,0.0522,4,0.856,rockabilly
4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.845,0.574,199093,0.338,0.0,6,0.165,-11.376,1,0.042,4,0.493,lounge
6XAcmxPbCfMzLBvjBd2G0H,Why Do Fools Fall In Love,Frankie Lymon & The Teenagers,40Zt6u0Ig5vXtrq0htgqvt,0.534,0.43,140827,0.558,0.000507,1,0.0914,-6.549,1,0.0844,4,0.779,rock-and-roll
4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.41,0.647,146480,0.582,1.93e-06,10,0.0715,-9.538,0,0.0755,4,0.915,rockabilly
5tHFPtV7dT01fxDe2AhKjD,Rip It Up,Little Richard,4xls23Ye9WR9yy3yYMpAMm,0.672,0.895,141400,0.636,3.31e-06,5,0.0207,-6.043,1,0.06,4,0.967,soul
4uxsv9PjV3Yeyn51RdWvGJ,Misty,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,0.876,0.216,216573,0.267,2.7e-05,8,0.109,-13.561,1,0.0351,4,0.218,vocal jazz
40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,0.385,0.645,131720,0.943,0.0,0,0.37,-1.526,1,0.0393,4,0.965,vocal jazz
0x0ffSAP6PkdoDgHOfroof,My Funny Valentine - Remastered,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.891,0.257,150667,0.125,0.0,11,0.108,-14.267,0,0.0332,4,0.245,lounge
05r0esO8ozJjsN7DzsJoMy,Blue Suede Shoes,Carl Perkins,5hIClg6noTaCzMu2s5wp4f,0.352,0.633,138400,0.568,6.03e-05,9,0.154,-11.225,1,0.0323,4,0.969,rockabilly
7s7Zu78CztOUFUyQ4BijBQ,Oh Boy! - Overdubbed Version,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.777,0.543,127680,0.619,0.0,9,0.109,-7.518,1,0.0377,4,0.846,rockabilly
0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Dion & The Belmonts,2loYllWFfoWpoxC5YrJKc4,0.671,0.555,158253,0.377,0.0,1,0.128,-9.123,1,0.0295,4,0.619,rockabilly
2KJOfVTxWkbtRMGByeEQ7V,Jambalaya (On The Bayou),Hank Williams,1FClsNYBUoNFtGgzeG74dW,0.706,0.526,172133,0.291,0.0,7,0.0651,-10.694,1,0.0346,4,0.886,yodeling
3YCbx1QqGrnxMsPEZLC1CT,Love Is Here To Stay - Remastered 1998,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.676,0.547,162840,0.208,0.0,9,0.1,-13.458,1,0.0334,4,0.424,lounge
5hznMxKe11iqwcW8BFlNWZ,"The Theme From ""A Summer Place""",Percy Faith,6unIK8JFrGemCge3NIUDKE,0.27,0.311,142333,0.455,0.919,0,0.47,-10.15,1,0.0311,3,0.845,lounge
4nAJtcmiyoL0ARY5WZY9IN,Rebel Rouser,Duane Eddy,1I5Cu7bqjkRg85idwYsD91,0.789,0.388,153533,0.434,0.954,7,0.728,-11.997,1,0.0354,4,0.873,surf music
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),Harry Belafonte,6Tw1ktF4xMmzaLLbe98I2z,0.885,0.797,183133,0.105,0.000116,1,0.108,-16.881,1,0.0969,4,0.419,lounge
0VDUNaQP6tcM5ZzfcgNLmL,Rock And Roll Music,Chuck Berry,293zczrfYafIItmnmM3coR,0.44,0.524,151773,0.785,0.00125,8,0.0565,-6.118,1,0.0467,4,0.914,soul
1VI29k31nGdasgJ8BBpPu8,Oh! Carol,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,0.766,0.584,135773,0.743,0.0,8,0.319,-7.039,0,0.0463,4,0.815,soft rock
1jKcwPfDloLOMxC1wMV0ux,I'm Gonna Get Married,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,0.765,0.569,143000,0.514,0.0,7,0.131,-9.369,1,0.0334,4,0.63,rockabilly
3h4udS0WeWbsur3yfjvnm4,Reet Petite,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,0.447,0.664,169240,0.66,0.0,5,0.298,-6.526,1,0.13,4,0.873,soul
2yOXKIU9YtBSWjI3OA8tqj,Little Bitty Pretty One,Thurston Harris,61VpPyyJn2bitby8tbafzT,0.777,0.706,143067,0.883,2.06e-06,8,0.0562,1.085,1,0.24,4,0.887,rock-and-roll
6wcKmXUzB6SExvGbleZkeI,At The Hop,Danny & The Juniors,6Ahm6X9wSKXitavOvu0XzY,0.662,0.405,149973,0.864,2.12e-05,8,0.18,-7.642,1,0.0486,4,0.888,rockabilly
7demHL0GXA6YmTNqw3Btz8,Yakety Yak,The Coasters,3QZKZBEmr54lAVI5XvmjnM,0.705,0.715,113040,0.669,0.000732,7,0.044,-9.491,1,0.128,4,0.976,soul
56XoFI6v7kbGNdM8ALYWof,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,0.856,0.508,135840,0.0965,0.012,11,0.102,-18.283,1,0.031,4,0.296,rockabilly
3YdKJzcoMZMacISlpY4QoP,I Only Have Eyes for You,The Flamingos,6iygtKnPG7TRvDaTYcLOd6,0.916,0.552,202773,0.313,0.0017,5,0.12,-12.41,1,0.0296,3,0.303,rhythm and blues
6bnFjTW3EnMG4BwreDnSHK,Mr. Blue,The Fleetwoods,673J686eeEXMYJorgQ70lX,0.931,0.374,145133,0.0889,6.88e-06,4,0.111,-17.475,1,0.0356,4,0.211,vocal harmony group
7ycFNferNuk6wAjBa0vWvl,Little Darlin',The Diamonds,3s9kaLrpplvv4vIzZBYPga,0.536,0.631,129333,0.587,0.29,6,0.333,-11.402,1,0.042,4,0.664,rockabilly
6lYeYgSkWh6TZDQy6YZuvG,Just A Gigolo - Remastered,Louis Prima,52lBOxCxbJg0ttXEW9CQpW,0.597,0.525,283200,0.403,0.0,8,0.0565,-11.987,1,0.0945,4,0.718,vocal jazz
5n5h1rwx8arEaRureuyNeS,Keep A Knockin,Little Richard,4xls23Ye9WR9yy3yYMpAMm,0.0266,0.335,137067,0.926,3.13e-06,8,0.0696,-8.763,1,0.0958,4,0.948,soul
66D7zHfeW0frszhjR9ewZ1,Only You (And You Alone),The Platters,6KWcxMWVNVIYbdOQyJtsSy,0.956,0.411,155693,0.28,0.0,3,0.12,-11.961,1,0.0285,4,0.309,rockabilly
4g9ZMsnY0xpeG3OR8GRJne,"It's Not for Me to Say - From the MGM Film ""Lizzie""",Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,0.94,0.328,183227,0.218,0.000169,8,0.1,-12.843,1,0.0383,4,0.446,vocal jazz
1s4hyUFWmLWiAamsclb4xA,"See You Later, Alligator",Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,0.313,0.664,165360,0.702,2.06e-06,10,0.369,-11.841,0,0.0671,4,0.737,rockabilly
0Rk9byjmZksAJX15onGns5,Teach Me Tonight,Dinah Washington,32LHRiof0sa4taYew9i3Fa,0.805,0.591,167493,0.231,0.0,8,0.142,-11.436,1,0.0775,4,0.401,vocal jazz
675n4cfx308vwH0VBGqEOM,I Saw The Light - Single Version,Hank Williams,1FClsNYBUoNFtGgzeG74dW,0.95,0.349,165960,0.265,0.000118,7,0.165,-11.381,1,0.0324,4,0.48,yodeling
